"Component","DrawPoint","PointNr","IsConnected","ConnectTo"
0,1,0,1,1
0,1,1,1,2
0,1,2,1,3
0,1,3,1,4
0,1,4,1,5
0,1,5,1,6
0,1,6,1,7
0,1,7,1,8
0,1,8,1,9
0,1,9,1,10
0,1,10,1,11
0,1,11,1,12
0,1,12,1,13
0,1,13,1,14
0,1,14,1,14
1,1,15,1,16
1,1,16,1,17
1,1,17,1,18
1,1,18,1,19
1,1,19,1,20
1,1,20,1,15
2,1,21,1,22
2,1,22,1,23
2,1,23,1,24
2,1,24,1,25
2,1,25,1,26
2,1,26,1,21
3,1,27,1,28
3,1,28,1,29
3,1,29,1,30
3,1,30,1,27
4,0,31,1,31
5,1,32,1,33
5,1,33,1,34
5,1,34,1,35
5,1,35,1,32
6,0,36,1,36
7,1,37,1,38
7,1,38,1,39
7,1,39,1,40
7,1,40,1,41
7,1,41,1,42
7,1,42,1,43
7,1,43,1,44
7,1,44,1,45
7,1,45,1,45
8,0,46,1,47
8,0,47,1,47
9,1,48,1,49
9,1,49,1,50
9,1,50,1,51
9,1,51,1,52
9,1,52,1,53
9,1,53,1,54
9,1,54,1,55
9,1,55,1,56
9,1,56,1,57
9,1,57,1,58
9,1,58,1,59
9,1,59,1,48
10,0,60,1,61
10,0,61,1,62
10,0,62,1,63
10,0,63,1,64
10,0,64,1,65
10,0,65,1,60
11,0,66,1,66
12,0,67,1,67
